GGBKTAO02BLR7U	primer	1	21
GGBKTAO02BLR7U	primer	252	272
GGBKTAO02BL723	primer	1	21
GGBKTAO02BMNT3	primer	1	21
GGBKTAO02BVPBC	primer	1	21
GGBKTAO02BPTJO	primer	1	21
GGBKTAO02BXPZ5	primer	1	21
GGBKTAO02BY1FK	primer	1	21
GGBKTAO02BVPEU	primer	1	21
GGBKTAO02B0PGL	primer	1	21
GGBKTAO02BU27E	primer	1	21
GGBKTAO02BWKWM	primer	1	21
GGBKTAO02BWKWM	primer	144	164
GGBKTAO02BZ6HE	primer	1	21
GGBKTAO02BZ6HE	primer	354	374
GGBKTAO02BZ6JB	primer	1	21
GGBKTAO02BYYA5	primer	1	21
GGBKTAO02BNC3A	primer	1	21
GGBKTAO02BNC3A	primer	194	214
GGBKTAO02B130R	primer	1	21
GGBKTAO02BP21Q	primer	1	21
GGBKTAO02BR0NU	primer	148	168
GGBKTAO02BQCJ7	primer	1	21
GGBKTAO02BQCJ7	primer	230	250
GGBKTAO02BY4KI	primer	1	21
GGBKTAO02BUKB2	primer	1	21
GGBKTAO02BRNXL	primer	1	21
GGBKTAO02BS5Q6	primer	1	21
GGBKTAO02BUWW1	primer	1	21
GGBKTAO02BUWW1	primer	118	138
GGBKTAO02BYB7D	primer	1	21
GGBKTAO02BN5HM	primer	1	21
GGBKTAO02BN5HM	primer	300	320
GGBKTAO02B10W8	primer	1	21
GGBKTAO02B0F0J	primer	1	21
GGBKTAO02BLCGF	primer	1	21
GGBKTAO02BTIBJ	primer	1	21
GGBKTAO02BQSAS	primer	1	21
GGBKTAO02BSC7W	primer	1	21
GGBKTAO02BLYKW	primer	1	21
GGBKTAO02BP9D9	primer	1	21
GGBKTAO02BPJ2K	primer	1	21
GGBKTAO02BPJ2K	primer	191	211
GGBKTAO02BN2BW	primer	1	21
GGBKTAO02BLCD4	primer	1	21
GGBKTAO02BS2L5	primer	1	21
GGBKTAO02BZ9P0	primer	1	21
GGBKTAO02BZ9P0	primer	140	160
GGBKTAO02B0176	primer	1	21
GGBKTAO02BMKMF	primer	1	21
